,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
269,Guerrero,0,AR,1564856377,24,-24.19,-65.45,19.0,4.1
270,Darnah,0,LY,1564856378,77,32.77,22.64,26.69,10.14
271,Steenokkerzeel,20,BE,1564856378,68,50.91,4.51,21.67,1.0
272,Katrineholm,0,SE,1564856379,45,59.0,16.21,20.0,1.0
273,Lima,90,PE,1564856291,82,-12.06,-77.04,16.0,3.1
274,Owando,80,CG,1564856380,50,-0.49,15.91,28.09,1.22
275,Savinskiy,100,RU,1564856380,94,62.93,40.14,5.09,4.83
276,Yulara,0,AU,1564856303,43,-25.24,130.99,11.0,4.6
277,Mayskiy,40,RU,1564856381,82,43.63,44.06,22.0,2.0
278,Atasu,0,KZ,1564856382,26,48.68,71.64,18.79,1.48
279,San Andres,100,PH,1564856383,94,13.32,122.68,24.79,4.62
280,Golub-Dobrzyn,34,PL,1564856247,63,53.11,19.05,22.78,0.45
281,Yar-Sale,83,RU,1564856384,80,66.83,70.83,14.39,6.04
282,Muros,40,ES,1564856384,73,42.77,-9.06,25.56,4.1
283,Khani,40,GE,1564856385,78,41.96,42.96,23.0,1.5
284,Sorgun,9,TR,1564856386,43,39.81,35.19,21.79,3.06
285,Iqaluit,75,CA,1564856243,81,63.75,-68.52,10.0,2.1
286,Kiama,40,AU,1564856387,75,-34.67,150.86,9.44,6.2
287,Kabelvag,75,NO,1564856090,82,68.21,14.48,13.33,4.1
288,Khartoum,0,SD,1564856257,27,15.59,32.54,37.0,1.0
289,Mogok,99,MM,1564856388,98,22.92,96.51,20.89,1.27
290,Aykhal,75,RU,1564856388,76,65.95,111.51,10.0,2.0
291,Sambava,79,MG,1564856389,98,-14.27,50.17,17.89,1.31
292,Praia,40,BR,1564856389,34,-20.25,-43.81,28.0,1.5
293,Flin Flon,90,CA,1564856390,83,54.77,-101.88,23.0,3.1
294,Beloha,0,MG,1564856391,64,-25.17,45.06,22.89,2.1
295,Gulariya,40,IN,1564856392,71,28.2,81.35,29.69,1.76
296,Victoria,75,BN,1564856392,94,5.28,115.24,26.0,0.5
297,Shostka,46,UA,1564856393,87,51.86,33.47,13.19,1.68
298,Betsiamites,75,CA,1564856394,93,48.94,-68.65,19.0,4.6
299,Hualmay,100,PE,1564856395,86,-11.1,-77.61,15.39,4.54
300,Lincoln,75,GB,1564856272,56,53.23,-0.54,23.33,4.6
301,Yinchuan,60,CN,1564856396,64,38.48,106.21,18.89,0.45
302,Sosnovka,10,RU,1564856102,80,53.23,41.37,11.79,2.95
303,Dali,6,CN,1564856397,89,34.79,109.94,21.89,3.05
304,Umm Kaddadah,26,SD,1564856397,37,13.6,26.69,32.19,4.16
305,Mantua,0,IT,1564856398,48,45.16,10.79,30.0,2.6
306,Rapid Valley,1,US,1564856399,69,44.06,-103.15,28.89,4.6
307,Tawang,100,BT,1564856399,94,27.59,91.87,14.79,1.34
308,Kaifeng,90,CN,1564856399,94,34.8,114.35,25.0,4.0
309,Canyon Lake,1,US,1564856400,19,33.68,-117.26,34.44,1.5
310,Grand Gaube,40,MU,1564856400,68,-20.01,57.66,22.0,4.6
311,Sao Jose da Coroa Grande,38,BR,1564856401,69,-8.9,-35.15,25.79,3.29
312,Arman,100,RU,1564856401,91,59.7,150.17,7.79,0.84
313,Praya,75,ID,1564856402,83,-8.71,116.27,22.0,1.5
314,Upata,24,VE,1564856402,79,8.02,-62.41,28.49,0.95
315,La Ronge,75,CA,1564856403,78,55.1,-105.3,22.0,8.2
316,Harper,1,US,1564856403,46,30.3,-99.24,34.44,3.1
317,Boguchany,8,RU,1564856404,84,58.38,97.46,16.19,1.47
318,Mandiana,15,GN,1564856404,83,10.62,-8.7,27.39,2.0
319,Grindavik,90,IS,1564856405,87,63.84,-22.43,13.0,2.1
320,Neiafu,90,TO,1564856405,94,-18.65,-173.98,22.0,3.6
321,Eureka,90,US,1564856132,77,40.8,-124.16,25.0,3.1
322,Whitehorse,75,CA,1564856407,52,60.72,-135.06,20.0,1.0
323,El Alto,0,BO,1564856407,6,-16.5,-68.19,12.0,2.6
324,Reshetylivka,84,UA,1564856408,66,49.56,34.08,17.09,2.54
325,Bonthe,100,SL,1564856408,87,7.53,-12.5,24.59,4.69
326,Valley City,40,US,1564856409,78,46.92,-98.0,27.0,4.6
327,Carmen,75,PH,1564856409,88,7.36,125.71,27.0,5.1
328,Isangel,90,VU,1564856410,93,-19.55,169.27,18.0,2.1
329,Antofagasta,0,CL,1564856410,67,-23.65,-70.4,20.56,2.6
330,Maumere,6,ID,1564856411,80,-8.63,122.22,19.89,3.77
331,Tahoua,40,NE,1564856411,38,14.89,5.26,34.0,5.1
332,Fairbanks,75,US,1564856412,93,64.84,-147.72,16.0,1.5
333,Road Town,40,VG,1564856412,74,18.42,-64.62,31.0,6.2
334,Irece,11,BR,1564856413,25,-11.3,-41.86,31.19,2.84
335,Rio Branco,0,BR,1564856319,27,-9.98,-67.82,24.0,5.7
336,Hirara,12,JP,1564856414,82,24.8,125.28,29.09,5.03
337,Wanning,75,AT,1564856414,82,48.64,13.53,19.44,1.5
338,Guadalupe,20,MX,1564856415,36,25.68,-100.26,35.0,3.6
339,Knyaze-Volkonskoye,20,RU,1564856415,100,48.46,135.46,19.0,1.95
340,Mangrol,85,IN,1564856416,71,25.33,76.51,30.99,1.97
341,Ballina,75,IE,1564856417,93,54.11,-9.15,20.0,3.1
342,Requena,0,ES,1564856347,45,39.49,-1.1,30.56,5.1
343,Belyy Yar,0,RU,1564856418,83,53.6,91.39,21.0,1.62
344,Vagur,0,FO,1564856418,88,61.47,-6.81,11.89,4.82
345,Te Anau,72,NZ,1564856419,66,-45.41,167.72,1.29,5.03
346,Verkhoyansk,0,RU,1564856419,57,67.55,133.39,6.99,2.42
347,Davila,20,PH,1564856420,100,18.47,120.58,25.0,1.5
348,Nkayi,9,CG,1564856420,50,-4.18,13.29,27.39,4.5
349,Bainbridge,90,US,1564856421,74,30.9,-84.58,32.22,1.25
350,Chichi,78,NG,1564856421,92,7.27,8.93,22.69,1.86
351,Tazovskiy,12,RU,1564856422,91,67.47,78.7,14.59,5.97
352,Pacific Grove,20,US,1564856422,77,36.62,-121.92,30.56,3.6
353,Manubul,100,PH,1564856423,81,5.47,120.8,27.79,6.21
354,Celendin,20,PE,1564856423,28,-6.87,-78.15,22.0,5.7
355,Alofi,17,NU,1564856423,93,-19.06,-169.92,18.0,0.5
356,Hami,0,CN,1564856424,14,42.84,93.51,31.09,8.0
357,Titay,100,PH,1564856425,94,7.87,122.56,23.59,2.16
358,Urucara,47,BR,1564856425,40,-2.54,-57.76,34.49,1.76
359,The Valley,20,AI,1564856425,70,18.22,-63.06,30.56,6.7
360,Palmer,75,AU,1564856426,76,-34.85,139.16,10.0,3.1
361,Partizanskoye,99,RU,1564856426,45,53.35,78.35,19.29,1.56
362,Changde,83,CN,1564856427,85,29.04,111.68,25.99,1.61
363,Aswan,16,EG,1564856427,13,24.09,32.9,37.59,5.96
364,Lompoc,1,US,1564856434,64,34.64,-120.46,26.11,5.1
365,Tobane,0,BW,1564856434,68,-21.91,28.04,22.0,3.43
366,Kachug,50,RU,1564856435,93,53.96,105.89,15.59,0.72
367,Bitam,69,GA,1564856435,97,2.08,11.49,20.49,1.61
368,Cedar City,1,US,1564856436,25,37.68,-113.06,31.11,1.5
369,Ardesen,0,TR,1564856437,88,41.19,40.99,21.0,3.1
370,Sorland,55,NO,1564856437,83,67.67,12.69,10.09,4.79
371,Smidovich,100,RU,1564856438,91,48.6,133.81,18.79,2.53
372,Atar,0,MR,1564856438,8,20.52,-13.05,44.19,6.14
373,Bodden Town,20,KY,1564856439,66,19.28,-81.25,33.0,5.7
374,Leh,0,IN,1564856439,49,34.16,77.58,10.49,2.07
375,Jonkoping,15,SE,1564856298,82,57.78,14.16,17.22,3.1
376,Fuerte,97,PH,1564856440,80,17.54,120.36,27.79,5.17
377,Sur,47,OM,1564856441,48,22.57,59.53,33.19,5.17
378,Marawi,100,PH,1564856441,86,8.0,124.29,25.0,2.15
379,Bafra,0,TR,1564856442,73,41.57,35.91,24.44,1.0
380,Shache,82,CN,1564856443,62,38.42,77.24,30.0,9.95
381,Ubatuba,90,BR,1564856180,93,-23.43,-45.08,14.0,3.6
382,Mahon,75,IE,1564856444,88,51.89,-8.4,18.89,5.1
383,Misratah,0,LY,1564856162,55,32.38,15.09,29.79,4.99
384,Bria,100,CF,1564856445,95,6.54,21.99,21.59,1.86
385,Sidi Ali,3,DZ,1564856445,92,36.1,0.42,24.29,7.04
386,Valparaiso,1,US,1564856313,39,41.47,-87.06,30.56,2.1
387,Larsnes,20,NO,1564856446,77,62.2,5.58,16.11,6.7
388,Khairagarh,100,IN,1564856446,95,21.42,80.98,24.09,6.47
389,Kolda,100,SN,1564856447,63,12.89,-14.94,31.49,1.98
390,Marsh Harbour,95,BS,1564856447,74,26.54,-77.06,29.29,8.44
391,Pasighat,100,IN,1564856448,89,28.06,95.33,22.99,1.18
392,Bumba,100,CD,1564856448,98,2.18,22.47,20.39,1.83
393,Nishihara,1,JP,1564856449,83,35.74,139.53,27.22,1.5
394,Medea,20,DZ,1564856449,74,36.27,2.77,29.0,4.6
395,Namibe,98,AO,1564856450,83,-15.19,12.15,17.09,5.64
396,Gedinne,75,BE,1564856450,64,49.98,4.94,21.67,3.1
397,Russell,75,US,1564856451,54,38.9,-98.86,29.44,0.66
398,Nkowakowa,0,ZA,1564856451,48,-23.89,30.29,17.0,2.1
399,Sao Filipe,19,CV,1564856452,83,14.9,-24.5,23.89,8.69
400,Luwingu,59,ZM,1564856453,59,-10.26,29.92,18.49,1.35
401,Srednekolymsk,55,RU,1564856453,69,67.46,153.71,3.09,4.4
402,Vernon,1,CA,1564856454,43,50.27,-119.27,23.33,1.0
403,Luena,0,AO,1564856454,25,-11.78,19.91,20.09,1.85
404,Salto,75,BR,1564856455,67,-23.2,-47.29,20.56,6.7
405,Taoudenni,75,ML,1564856455,6,22.68,-3.98,46.79,4.92
406,Chernyshevskiy,0,RU,1564856456,83,63.01,112.47,7.49,0.97
407,Lipin Bor,100,RU,1564856456,94,60.26,37.97,6.39,3.72
408,Esfahan,0,IR,1564856188,15,32.66,51.68,32.0,4.1
409,Kalianget,27,ID,1564856457,91,-7.35,109.91,18.99,0.36
410,Prince George,75,CA,1564856458,77,53.92,-122.75,17.22,2.6
411,Port Macquarie,0,AU,1564856215,93,-31.43,152.91,8.0,2.1
412,Alyangula,97,AU,1564856459,83,-13.85,136.42,21.0,2.1
413,Esperance,40,AU,1564856459,62,-33.86,121.89,12.0,3.6
414,Loa Janan,48,ID,1564856460,89,-0.58,117.09,22.79,1.97
415,Benghazi,0,LY,1564856460,66,32.12,20.07,27.69,4.54
416,Kitimat,75,CA,1564856461,77,54.02,-128.69,19.44,1.5
417,Ormara,83,PK,1564856461,78,25.21,64.64,27.69,2.26
418,Skjervoy,0,NO,1564856461,76,70.03,20.97,10.59,1.45
419,Dumas,90,IN,1564856462,94,21.09,72.71,27.0,4.1
420,Lazaro Cardenas,40,MX,1564856463,25,28.39,-105.62,32.0,4.1
421,Marolambo,19,MG,1564856463,97,-20.05,48.13,14.39,0.68
422,Brae,10,GB,1564856464,77,60.4,-1.35,15.0,4.6
423,Waipawa,90,NZ,1564856464,89,-39.94,176.59,8.89,6.26
424,Penzance,20,GB,1564856465,82,50.12,-5.53,20.56,6.7
425,Cherskiy,0,RU,1564856465,79,68.75,161.3,-0.61,4.47
426,Fulton,20,US,1564856466,58,38.85,-91.95,29.44,2.6
427,Sioux Lookout,40,CA,1564856466,61,50.1,-91.92,27.0,2.6
428,Clyde River,40,CA,1564856467,58,70.47,-68.59,13.0,7.2
429,Bourail,53,NC,1564856467,89,-21.57,165.5,13.39,1.1
430,Savannah Bight,65,HN,1564856468,75,16.45,-85.85,28.59,5.17
431,Riberalta,0,BO,1564856468,25,-11.0,-66.08,25.0,9.3
432,Placido de Castro,0,BR,1564856469,20,-10.34,-67.19,26.69,4.05
433,Fairview,75,CA,1564856469,88,56.07,-118.38,17.0,2.6
434,Boa Vista,75,BR,1564856470,58,2.82,-60.67,31.0,1.5
435,Kruisfontein,0,ZA,1564856470,93,-34.0,24.73,9.39,0.8
436,Jutai,33,BR,1564856471,56,-1.71,-47.89,31.69,1.7
437,Iquique,40,CL,1564856269,59,-20.22,-70.14,16.0,4.1
438,Makarov,81,RU,1564856472,98,48.62,142.78,12.39,0.43
439,Seoul,40,KR,1564856214,106,37.57,126.98,26.0,1.0
440,Sao Felix do Xingu,11,BR,1564856474,20,-6.64,-51.99,39.19,0.9
441,San Quintin,98,PH,1564856474,95,17.54,120.52,22.99,1.34
442,Richards Bay,99,ZA,1564856333,79,-28.77,32.06,20.99,7.34
443,Moratuwa,40,LK,1564856475,88,6.77,79.88,27.0,2.1
444,Peniche,20,PT,1564856315,69,39.36,-9.38,23.0,4.6
445,Horadiz,0,AZ,1564856476,69,39.45,47.33,25.0,7.2
446,Issoire,0,FR,1564856477,32,45.54,3.25,27.0,2.1
447,Singaraja,21,ID,1564856477,64,-8.11,115.08,25.19,3.12
448,Fort-Shevchenko,0,KZ,1564856478,53,44.51,50.26,23.29,1.53
449,Aksarka,59,RU,1564856478,86,66.56,67.8,12.69,4.92
450,Hidalgotitlan,40,MX,1564856478,59,17.78,-94.63,32.0,5.1
451,Tezu,74,IN,1564856479,91,27.93,96.16,23.99,1.93
452,Tsabong,0,BW,1564856480,19,-26.02,22.4,15.89,2.64
453,Rawson,10,AR,1564856376,25,-43.3,-65.11,15.09,7.33
454,Siocon,100,PH,1564856481,85,11.03,124.04,25.19,4.85
455,Tessalit,100,ML,1564856481,14,20.2,1.01,40.89,5.69
456,Aklavik,90,CA,1564856481,93,68.22,-135.01,15.0,4.6
457,Grand Bank,0,CA,1564856482,69,47.1,-55.77,23.0,4.1
458,George Town,75,MY,1564856482,94,5.42,100.33,27.0,2.32
459,Nileshwar,75,IN,1564856483,94,12.25,75.1,27.0,1.5
460,Shingu,8,JP,1564856483,97,33.72,135.99,21.09,1.0
461,Zhezkazgan,0,KZ,1564856265,23,47.8,67.71,21.09,3.02
462,Shalinskoye,48,RU,1564856484,79,55.72,93.76,20.59,1.91
463,Marinette,1,US,1564856485,74,45.1,-87.63,29.44,3.6
464,Ahmadpur East,68,PK,1564856485,40,29.14,71.26,37.59,5.52
465,Dukat,0,AL,1564856486,73,40.25,19.57,25.56,0.45
466,Santa Maria,40,BR,1564856486,28,-16.02,-48.01,30.0,2.6
467,Maua,43,KE,1564856487,84,0.23,37.94,10.49,4.81
468,Sorong,86,ID,1564856487,88,-0.86,131.25,23.69,4.44
469,Yeppoon,0,AU,1564856488,77,-23.13,150.74,15.0,3.6
470,Necochea,30,AR,1564856488,73,-38.55,-58.74,12.22,0.89
471,Biltine,73,TD,1564856489,49,14.53,20.93,32.09,4.05
472,Atambua,0,ID,1564856489,68,-9.11,124.89,23.29,6.75
473,Ouargaye,77,BF,1564856490,61,11.5,0.06,28.59,1.09
474,Tigil,100,RU,1564856490,75,57.8,158.67,9.39,2.3
475,Georgetown,75,GY,1564856208,74,6.8,-58.16,30.0,1.0
476,Huarmey,99,PE,1564856492,87,-10.07,-78.15,15.89,5.11
477,Parrita,20,CR,1564856493,69,9.52,-84.33,24.0,4.6
478,Hambantota,50,LK,1564856493,82,6.12,81.12,27.49,5.15
479,Christchurch,67,NZ,1564856494,93,-43.53,172.64,4.0,2.6
480,Mount Isa,54,AU,1564856495,38,-20.73,139.49,16.0,5.17
481,Salalah,90,OM,1564856226,88,17.01,54.1,26.0,3.6
482,Bani Walid,0,LY,1564856496,15,31.76,14.0,31.99,5.36
483,Bima,0,ID,1564856496,92,-8.45,118.73,16.69,1.13
484,Alenquer,20,BR,1564856497,74,-1.95,-54.74,31.0,2.1
485,Rio Gallegos,0,AR,1564856417,61,-51.62,-69.22,8.0,10.3
486,Kozhevnikovo,35,RU,1564856498,63,56.26,83.98,19.44,2.34
487,Ponnani,75,IN,1564856499,88,10.77,75.93,28.89,2.1
488,Carbonia,0,IT,1564856278,38,39.17,8.53,32.0,7.2
489,Bud,30,NO,1564856500,63,62.91,6.91,17.0,4.6
490,Dothan,1,US,1564856500,58,31.22,-85.39,32.22,2.6
491,Goryachegorsk,44,RU,1564856501,87,55.41,88.92,14.79,2.67
492,Nouadhibou,17,MR,1564856501,69,20.93,-17.03,23.0,11.3
493,Tilichiki,96,RU,1564856502,74,60.47,166.1,9.39,2.13
494,Antalaha,74,MG,1564856502,98,-14.9,50.28,16.29,1.31
495,Namatanai,97,PG,1564856503,89,-3.66,152.44,25.19,7.25
496,Tuy Hoa,84,VN,1564856503,70,13.08,109.3,24.59,4.52
497,Lodja,100,CD,1564856504,85,-3.52,23.6,21.49,2.0
498,Gornopravdinsk,92,RU,1564856504,92,60.06,69.92,12.89,4.97
499,Tateyama,0,JP,1564856505,90,36.66,137.31,27.22,0.89
500,Kuusankoski,40,FI,1564856505,81,60.91,26.62,11.11,2.1
501,Ambilobe,11,MG,1564856506,66,-13.19,49.05,23.39,4.95
502,Ayr,96,AU,1564856506,87,-19.58,147.4,15.29,2.85
503,Oneonta,11,US,1564856507,73,42.45,-75.06,28.89,0.45
504,Dubbo,0,AU,1564856507,93,-32.25,148.6,2.0,2.1
505,Aksu,0,KZ,1564856508,67,52.04,76.93,14.0,3.0
506,Tongliao,19,CN,1564856508,66,43.61,122.27,18.89,1.1
507,Sao Paulo de Olivenca,91,BR,1564856509,39,-3.38,-68.87,34.19,3.12
508,Yumen,48,CN,1564856509,19,40.29,97.04,26.99,8.38
509,Kingman,1,US,1564856302,16,35.19,-114.05,40.0,2.6
510,Roros,0,NO,1564856510,66,62.57,11.38,13.0,4.6
511,Matina,89,CR,1564856511,87,10.08,-83.29,25.29,1.87
512,Dwarka,75,IN,1564856511,88,28.58,77.04,30.0,1.5
513,Saint-Pierre,0,FR,1564855993,47,48.95,4.24,27.0,3.1
514,Shimoda,40,JP,1564856512,88,34.7,138.93,26.11,2.1
515,Usogorsk,100,RU,1564856513,98,63.43,48.71,6.79,3.69
516,Hokitika,67,NZ,1564856514,69,-42.72,170.96,5.29,6.26
517,Quatre Cocos,40,MU,1564856514,68,-20.21,57.76,22.0,4.6
518,Petrovac,20,RS,1564856515,73,43.03,21.82,21.0,3.1
519,Severo-Kurilsk,100,RU,1564856515,95,50.68,156.12,9.69,5.2
520,Pangody,85,RU,1564856516,74,65.85,74.49,14.79,6.19
521,Gizo,20,IL,1564856516,69,31.8,34.94,28.33,1.5
522,Barentu,82,ER,1564856517,78,15.11,37.59,25.19,2.36
523,Mae Tha,75,TH,1564856517,74,18.46,99.14,30.56,1.0
524,Mogocha,65,RU,1564856518,84,53.73,119.76,13.09,1.58
525,Komsomolskiy,96,RU,1564856520,91,67.55,63.78,15.29,5.88
526,Mikhaylovka,71,RU,1564856520,89,52.96,103.29,16.59,3.73
527,Troitskoye,84,RU,1564856521,50,52.98,84.68,17.49,2.65
528,Duisburg,20,DE,1564856015,64,51.44,6.76,21.67,2.6
529,Berlevag,75,NO,1564856521,87,70.86,29.09,6.0,3.6
530,Floriano,0,BR,1564856522,22,-6.77,-43.02,36.29,3.64
531,Tautira,75,PF,1564856523,74,-17.73,-149.15,26.0,2.6
532,Mendi,84,ET,1564856523,95,9.8,35.1,17.89,0.77
533,Aguimes,20,ES,1564856524,57,27.91,-15.45,25.0,13.4
534,Saint-Augustin,75,CA,1564856524,60,45.63,-73.98,28.33,2.6
535,Yingcheng,0,CN,1564856525,78,30.93,113.57,28.0,3.0
536,Riyadh,2,SA,1564856078,10,24.63,46.72,38.0,5.1
537,Picayune,20,US,1564856525,46,30.53,-89.68,32.22,2.6
538,Gat,0,SN,1564856526,58,14.69,-16.54,39.0,4.6
539,Gryfice,0,PL,1564856527,49,53.91,15.2,22.22,3.1
